Autokennzeichen;Stadt/Ort;Landkreis/Gemeinde;Bundesland
AUR;Aurich;Landkreis Aurich;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
AW;Ahrweiler;Landkreis Ahrweiler;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
AZ;Alzey;Landkreis Alzey-Worms;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
AZE;Anhalt-Zerbst;Landkreis Anhalt-Bitterfeld;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
B;Berlin;Stadt Berlin;"Berlin <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Berlin.svg"" class=""flagfull"" alt=""Berlin"" />"
BA;Bamberg;Landkreis & Stadt Bamberg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
BAD;Baden-Baden;Stadt Baden-Baden;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
BAR;Barnim;Landkreis Barnim;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
BB;Böblingen;Landkreis Böblingen;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
BBG*;Bernburg (Saale);Salzlandkreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
BBL;Land Brandenburg;Landesregierung, Landtag und Polizei;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
BC;Biberach an der Riß;Landkreis Biberach;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
BCH*;Buchen (Odenwald);Neckar-Odenwald-Kreis;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
BD;Bund;Deutscher Bundestag, Bundesrat, Bundespräsidialamt, Bundesregierung, Bundesministerien, Finanzverwaltung, Verfassungsgericht;bundesweit
BED*;Brand-Erbisdorf;Landkreis Mittelsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
BER*;Bernau bei Berlin;Landkreis Barnim;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
BF;Burgsteinfurt;Kreis Steinfurt;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
BGL;Berchtesgadener Land;Landkreis Berchtesgadener Land;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
BI;Bielefeld;Stadt Bielefeld;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
BID*;Biedenkopf;Landkreis Marburg-Biedenkopf;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
BIN*;Bingen;Landkreis Mainz-Bingen;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
BIR;Birkenfeld;Landkreis Birkenfeld;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
BIT;Bitburg;Eifelkreis Bitburg-Prüm;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
BIW*;Bischofswerda;Landkreis Bautzen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
BK;Börde(kreis);Landkreis Börde;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
BKS*;Bernkastel-Kues;Landkreis Bernkastel-Wittlich;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
BL;Balingen;Zollernalbkreis;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
BLB*;Bad Berleburg;Kreis Siegen-Wittgenstein;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
BLK;Burgenlandkreis;Burgenlandkreis;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
BM;Bergheim;Rhein-Erft-Kreis;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
BN;Bonn;Stadt Bonn;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
BNA*;Borna;Landkreis Leipzig;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
BO;Bochum;Stadt Bochum;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
BÖ;Börde;Landkreis Börde;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
BOH*;Bocholt;Kreis Borken;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
BOR;Borken;Kreis Borken;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
BOT;Bottrop;Stadt Bottrop;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
BP;Bundespolizei;Bundespolizei;bundesweit
BRA;Brake (Unterweser);Landkreis Wesermarsch;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
BRB;Brandenburg an der Havel;Stadt Brandenburg an der Havel;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
BRG*;Burg bei Magdeburg;Landkreis Jerichower Land;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
BRK*;Bad Brückenau;Landkreis Bad Kissingen;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
BRL*;Braunlage;Landkreis Goslar;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
BRV*;Bremervörde;Landkreis Rotenburg (Wümme);"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
BS;Braunschweig;Stadt Braunschweig;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
BT;Bayreuth;Landkreis & Stadt Bayreuth;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
BTF*;Bitterfeld;Landkreis Anhalt-Bitterfeld;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
BÜD*;Büdingen;Wetteraukreis;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
BUL*;Burglengenfeld;Landkreise Amberg-Sulzbach & Schwandorf;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
BÜS;Büsingen;Gemeinde Büsingen am Hochrhein;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
BÜZ*;Bützow;Landkreis Rostock;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
BW;Bundes Wasser-;Wasser- und Schifffahrts-;bundesweit
;und Schifffahrts-;verwaltung des Bundes;
;verwaltung;;
BWL;Land Baden-Württemberg;Landesregierung, Landtag und Polizei;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
BYL;Land Bayern;Landesregierung und Landtag;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
BZ;Bautzen;Landkreis Bautzen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
C;Chemnitz;Stadt Chemnitz;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
CA*;Calau;Landkreis Oberspreewald-Lausitz;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
CAS*;Castrop-Rauxel;Kreis Recklinghausen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
CB;Cottbus;Stadt Cottbus;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
CE;Celle;Landkreis Celle;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
CHA;Cham;Landkreis Cham;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
CLP;Cloppenburg;Landkreis Cloppenburg;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
CLZ*;Clausthal-Zellerfeld;Landkreis Goslar;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
CO;Coburg;Landkreis & Stadt Coburg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
COC;Cochem;Landkreis Cochem-Zell;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
COE;Coesfeld;Kreis Coesfeld;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
CUX;Cuxhaven;Landkreis Cuxhaven;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
CW;Calw;Landkreis Calw;"Baden-Württemberg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Baden-Wuerttemberg.svg"" class=""flagfull"" alt=""Baden-Württemberg"" />"
D;Düsseldorf;Stadt Düsseldorf;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
DA;Darmstadt;Stadt Darmstadt & Landkreis Darmstadt-Dieburg;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
DAH;Dachau;Landkreis Dachau;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
DAN;Dannenberg;Landkreis Lüchow-Dannenberg;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
DAU;Daun;Landkreis Vulkaneifel;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
DBR*;Bad Doberan;Landkreis Rostock;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
DD;Dresden;Stadt Dresden;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
DE;Dessau;Stadt Dessau-Roßlau;"Sachsen-Anhalt <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen-Anhalt.svg"" class=""flagfull"" alt=""Sachsen-Anhalt"" />"
DEG;Deggendorf;Landkreis Deggendorf;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
DEL;Delmenhorst;Stadt Delmenhorst;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
DGF;Dingolfing;Landkreis Dingolfing-Landau;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
DH;Diepholz;Landkreis Diepholz;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
DI*;Dieburg;Landkreis Darmstadt-Dieburg;"Hessen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Hessen.svg"" class=""flagfull"" alt=""Hessen"" />"
DIN*;Dinslaken;Kreis Wesel;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
DIZ*;Diez;Rhein-Lahn-Kreis;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
DKB*;Dinkelsbühl;Landkreis Ansbach;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
DL*;Döbeln;Landkreis Mittelsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
DLG;Dillingen an der Donau;Landkreis Dillingen an der Donau;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
DM*;Demmin;Landkreis Mecklenburgische Seenplatte ohne Stadt Neubrandenburg;"Mecklenburg-Vorpommern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Mecklenburg-Vorpommern.svg"" class=""flagfull"" alt=""Mecklenburg Vorpommern"" />"
DN;Düren;Kreis Düren;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
DO;Dortmund;Stadt Dortmund;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
DON;Donauwörth;Landkreis Donau-Ries;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
DU;Duisburg;Stadt Duisburg;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
DUD*;Duderstadt;Landkreis Göttingen;"Niedersachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Niedersachsen.svg"" class=""flagfull"" alt=""Niedersachsen"" />"
DÜW;Bad Dürkheim an der Weinstraße;Landkreis Bad Dürkheim;"Rheinland-Pfalz <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Rheinland-Pfalz.svg"" class=""flagfull"" alt=""Rheinland-Pfalz"" />"
DW*;Dippoldiswalde;Landkreis Sächsische Schweiz-Osterzgebirge;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
DZ*;Delitzsch;Landkreis Nordsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
E;Essen;Stadt Essen;"Nordrhein-Westfalen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Nordrhein-Westfalen.svg"" class=""flagfull"" alt=""Nordrhein-Westfalen"" />"
EA;Eisenach;Stadt Eisenach;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
EB*;Eilenburg;Landkreis Nordsachsen;"Sachsen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Sachsen.svg"" class=""flagfull"" alt=""Sachsen"" />"
EBE;Ebersberg;Landkreis Ebersberg;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
EBS*;Ebermannstadt;Landkreise Bayreuth, Forchheim & Kulmbach;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
ECK*;Eckernförde*;Kreis Rendsburg-Eckernförde;"Schleswig-Holstein <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Schleswig-Holstein.svg"" class=""flagfull"" alt=""Schleswig-Holstein"" />"
ED;Erding;Landkreis Erding;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
EE;Elbe-Elster;Landkreis Elbe-Elster;"Brandenburg <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Brandenburg.svg"" class=""flagfull"" alt=""Brandenburg"" />"
EF;Erfurt;Stadt Erfurt;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
EG*;Eggenfelden;Landkreis Rottal-Inn;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
EI;Eichstätt;Landkreis Eichstätt;"Bayern <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Bayern.svg"" class=""flagfull"" alt=""Bayern"" />"
EIC;Eichsfeld;Landkreis Eichsfeld;"Thüringen <img src=""https://laenderkennzeichen.net/wp-content/uploads/Wappen-Thueringen.svg"" class=""flagfull"" alt=""Thüringen"" />"
